id,renewal,incentives
649,0.992577365,1533.404386
81136,0.984276531,2024.060348
70762,0.779838998,1932.722886
53935,0.978547654,1718.793846
15476,0.950226838,1932.639402
64797,0.987578953,2025.370433
67412,0.846450335,1469.831313
44241,0.820503686,1650
5069,0.992798826,2091.680158
16615,0.99340601,2380.627756
84281,0.989794984,2241.108975
82623,0.96820546,1145.886516
86475,0.685016918,1881.799242
68263,0.948619228,1137.595816
113135,0.945788418,1136.346788
45532,0.977011063,2192.211316
102161,0.994884031,1851.08664
84789,0.700323997,2270.56522
62398,0.975385157,2020.510245
70148,0.977144218,1527.270082
102487,0.901101859,2054.043285
100513,0.913118069,1994.668984
92702,0.919472347,1715.607883
25051,0.661596471,1789.942587
92920,0.993869111,2092.097028
25520,0.963616125,2015.759131
81869,0.964737298,2491.554887
75402,0.981623011,1846.060114
34053,0.583920592,681.0907234
21191,0.990702957,1949.026812
10864,0.987818144,1722.455839
6349,0.976567285,1844.122154
85213,0.989275714,1848.970777
17255,0.964165447,1713.042395
108351,0.744926641,1424.447377
51437,0.970873542,2018.695988
88629,0.858714601,2184.793615
85367,0.992378107,1155.464722
12313,0.944354017,1135.708276
71659,0.972185558,2019.22449
35142,0.990474372,1723.498642
62988,0.988341097,2196.781816
8793,0.931859731,1508.57137
11433,0.990744416,1949.04325
30586,0.991046554,2197.865458
53012,0.975588379,1526.645312
87924,0.989510156,1849.059516
106177,0.979753207,2022.258483
63058,0.942025757,2177.757388
99537,0.967577885,2081.713169
35336,0.879329865,2194.197355
78691,0.946957261,1136.864267
16161,0.982269539,1945.66857
94318,0.980464116,1719.553765
96583,0.993522266,1533.776316
104560,0.957029471,1731.153439
19638,0.994573398,2350.923264
26080,0.976954124,2021.139132
113482,0.990467668,1849.421682
82175,0.9852294,1530.497879
1239,0.964314307,1522.082029
32521,0.621240768,1841.251465
68529,0.994664167,1851.003964
38882,0.379377527,1354.620775
8299,0.991537601,1532.994639
98521,0.96770219,2081.762979
47257,0.939935609,1829.712679
42445,0.971875158,2083.431127
104700,0.766149031,1990.587087
109204,0.988373178,2089.951192
20138,0.584597067,1742.165124
28468,0.990061073,2280.594403
94964,0.80596415,2065.749861
59773,0.919069807,1503.082635
17261,0.990217266,2197.533609
9570,0.938621048,1511.434122
55159,0.67817723,1576.737877
82480,0.986273628,1530.912475
51225,0.644033469,1682.425959
53176,0.737609341,1051.02371
82883,0.980530655,1528.625868
63590,0.988575633,2196.875874
50906,0.666488098,1935.871589
21635,0.828044736,1956.284773
84000,0.929235086,1695.701232
79029,0.994463136,2199.229723
60256,0.993576988,2146.39156
110660,0.846386138,1469.800131
51023,0.973696033,2273.991663
